DVM ID,Practice Name,Active,Partner,State,Zip,Marketing Email Pref,Vet Users,Staff Users,totalRev,avgMonthlyRev,avgMonthlyRevPerUser,wRx,cRx,monthlyRxTot,clients,emails,bracket
75469,Animal Hospital of North Alabama,1,VBS Partner,AL,35750,Companion Animal,3,2,6045.03,503.75,100.75,11,6,1,12922,373,1
4423,Lamczyk Veterinary Clinic LLC,1,VBS Partner,IL,62864,Companion Animal,5,1,9467.72,788.98,131.5,21,11,2,12904,2632,1
2459,El Dorado Animal Hospital,1,VBS Partner,AR,71730,Companion Animal,2,0,3714.5,309.54,154.77,0,0,0,12737,193,1
5914,DeKalb Animal Hospital,1,IMA Partner,GA,30084,Companion Animal,4,15,25281.45,2106.79,110.88,76,44,6,12410,4462,3
4661,Animal General,1,VBS Partner,NY,10024,Companion Animal,7,0,7050.61,587.55,83.94,9,5,1,12251,2694,1
2463,Inwood Animal Center,1,VBS Partner,WV,25428,Companion Animal,18,2,9354.31,779.53,38.98,9,5,1,12215,3083,1
3346,Animal Care Center of Weeki Wachee,1,VBS Partner,FL,34613,Companion Animal,3,0,12044.79,1003.73,334.58,19,12,2,11689,2581,2
2086,Hardee Animal Clinic,1,IMA Partner,FL,33873,Companion Animal,1,1,13302.33,1108.53,554.26,7,6,1,11662,1677,2
5825,Anderson Animal Clinic,1,VBS Partner,FL,33876,Companion Animal,2,1,12506.81,1042.23,347.41,11,5,1,11594,806,2
4539,Greenbelt Veterinary Hospital,1,IMA Partner,TX,79705,Companion Animal,11,4,16504.47,1375.37,91.69,5,4,0,11259,4702,2
4613,Spay Now Animal Surgery Clinic,1,VBS Partner,MD,21638,Companion Animal,6,12,10127.41,843.95,46.89,96,24,8,11107,2328,1
1878,Enfield Animal Hospital,1,IMA Partner,CT,6082,Companion Animal,7,2,24870.53,2072.54,230.28,11,7,1,10867,889,3
2083,Lifetime Animal Center LLC,1,IMA Partner,MO,64093,Companion Animal,3,2,16471.97,1372.66,274.53,74,38,6,10832,2413,2
3443,Feather & Fur Animal Clinic,1,VBS Partner,HI,96734,Companion Animal,13,0,25070.95,2089.25,160.71,6,3,1,10796,7236,3
2282,Lake Harbin Animal Hospital,1,IMA Partner,GA,30260,Companion Animal,3,8,10512.45,876.04,79.64,11,6,1,10714,525,1
1903,Herkimer Veterinary Associates,1,IMA Partner,NY,13350,Companion Animal,6,1,22425.75,1868.81,266.97,59,32,5,10636,1044,2
1997,Concord Pike Veterinary Hospital,1,VBS Partner,PA,19317,Companion Animal,5,3,22289.57,1857.46,232.18,8,6,1,10566,1651,2
2052,Sheehy Animal Hospital,1,IMA Partner,MI,48152,Companion Animal,2,10,3360.9,280.08,23.34,3,2,0,10507,3111,1
4680,Animal Medical Center,1,VBS Partner,IN,46219,Companion Animal,7,1,4334.22,361.19,45.15,12,11,1,10482,1813,1
3514,Garden Grove Animal Hospital,1,VBS Partner,FL,33884,Companion Animal,2,0,7729.35,644.11,322.06,10,10,1,10465,1237,1
15762,Dickinson County Animal Clinic,1,VBS Partner,IA,51360,Companion Animal,2,2,3077.64,256.47,64.12,48,13,4,10302,679,1
4511,Capitol Hill Animal Clinic,1,VBS Partner,DC,20003,Companion Animal,3,0,17424.34,1452.03,484.01,90,50,8,10091,4344,2
2618,Camboro Veterinary Hospital,1,VBS Partner,PA,16412,Companion Animal,10,1,28199.09,2349.92,213.63,30,16,3,10035,4901,3
2059,Mount Vernon Animal Hospital,1,VBS Partner,OH,43050,Companion Animal,4,3,5467.33,455.61,65.09,0,0,0,9726,1020,1
2843,"King of Prussia Veterinary Hospital, PC",1,VBS Partner,PA,19406,Companion Animal,3,1,23359.49,1946.62,486.66,11,4,1,9644,2863,2
3689,Fairbanks Animal Clinic,1,VBS Partner,TX,77040,Companion Animal,13,5,19034.62,1586.22,88.12,42,27,4,9458,3244,2
1928,Eastridge Animal Center,1,IMA Partner,IA,50049,Companion Animal,2,2,931.4,77.62,19.4,0,0,0,9402,407,1
4021,Deer Run Veterinary Hospital,1,VBS Partner,MA,2536,Companion Animal,6,0,4975.91,414.66,69.11,3,1,0,9355,1154,1
1919,Runaway Farm Pet Hospital,1,IMA Partner,PA,18073,Companion Animal,1,1,958.28,79.86,39.93,1,0,0,9291,306,1
2080,Grace Animal Hospital and Pet Lodge,1,IMA Partner,SC,29072,Companion Animal,4,1,26354.61,2196.22,439.24,10,9,1,9085,1468,3
1956,Madison Veterinary Hospital PC,1,IMA Partner,MI,48071,Companion Animal,5,1,4988.59,415.72,69.29,1,0,0,9032,4976,1
2109,Steel Veterinary Services,1,IMA Partner,PA,15301,Companion Animal,1,1,17201.31,1433.44,716.72,131,30,11,9011,31,2
2183,"Oceanview Veterinary Hospital, Inc",1,IMA Partner,FL,32250,Companion Animal,2,0,7534.17,627.85,313.92,11,8,1,8969,1825,1
3030,"Valley Veterinary Service, Inc.",1,VBS Partner,PA,15012,Companion Animal,3,2,3622.8,301.9,60.38,6,6,1,8768,3554,1
5826,"Eagle's Landing Veterinary Hospital (Vet Aerie, PC)",1,VBS Partner,GA,30253,Companion Animal,6,5,16267.17,1355.6,123.24,181,75,15,8635,4575,2
2274,"Country View Veterinary Service, Inc.",1,IMA Partner,WI,53575,Companion Animal,13,1,16275.57,1356.3,96.88,55,30,5,8479,2674,2
3990,Franklin Animal Clinic,1,VBS Partner,PA,16323,Companion Animal,6,0,11422.81,951.9,158.65,6,5,1,8298,1607,1
4220,"Tupelo Small Animal Hospital, P.A.",1,VBS Partner,MS,38801,Companion Animal,4,1,16869.72,1405.81,281.16,4,3,0,8265,3865,2
3377,City Cat Doctor,1,IMA Partner,IL,60610,Companion Animal,11,2,1239.85,103.32,7.95,0,0,0,8103,2559,1
2058,Bethany Centennial Animal Hospital,1,IMA Partner,MD,21042,Companion Animal,4,1,18604.76,1550.4,310.08,0,0,0,8078,1893,2
3301,County Animal Hospital,1,VBS Partner,NY,10956,Companion Animal,2,0,7960.06,663.34,331.67,18,12,2,7954,1685,1
2221,Bonita Veterinary Hospital,1,IMA Partner,FL,34134,Companion Animal,4,1,20494.53,1707.88,341.58,5,3,0,7952,3349,2
2272,Seneca Animal Hospital PA,1,IMA Partner,SC,29678,Companion Animal,3,4,9079.06,756.59,108.08,17,4,1,7920,2224,1
3375,DeWitt Animal Hospital,1,VBS Partner,MA,2762,Companion Animal,8,1,21416.63,1784.72,198.3,60,38,5,7865,2525,2
2131,New River Animal Hospital,1,IMA Partner,WV,25978,Companion Animal,5,13,4924.72,410.39,22.8,6,5,1,7758,202,1
3195,Animal Hospital of Redondo Beach,1,VBS Partner,CA,90277,Companion Animal,7,11,28458.44,2371.54,131.75,107,52,9,7746,3138,3
2452,Independence Animal Hospital,1,VBS Partner,KS,67301,Companion Animal,2,0,2882.55,240.21,120.11,37,18,3,7676,1142,1
3542,Eastside Animal Clinic,1,VBS Partner,FL,34112,Companion Animal,2,1,15656.32,1304.69,434.9,4,3,0,7637,1450,2
5875,Middendorf Animal Hospital and Laser Center,1,IMA Partner,KY,41042,Companion Animal,2,1,13369.89,1114.16,371.39,5,4,0,7551,2312,2
3421,Manheim Pike Veterinary Hospital,1,VBS Partner,PA,17601,Companion Animal,5,2,12815.9,1067.99,152.57,4,3,0,7492,4566,2
4669,Glade Valley Animal Hospital,1,VBS Partner,MD,21701,Companion Animal,4,11,19273.52,1606.13,107.08,96,37,8,7458,2122,2
4226,380 West Animal Hospital P.C.,1,IMA Partner,TX,75071,Companion Animal,4,1,21988.72,1832.39,366.48,73,24,6,7416,6284,2
3276,Desert Veterinary Clinic PLC,1,VBS Partner,AZ,85364,Companion Animal,14,4,10525.27,877.11,48.73,31,21,3,7402,4024,1
1901,Blue Sky Veterinary Clinic,1,IMA Partner,OR,97702,Companion Animal,11,4,12269.1,1022.43,68.16,1,1,0,7397,2846,2
5903,Middletown Animal Hospital,1,VBS Partner,NJ,7748,Companion Animal,6,2,19496.69,1624.72,203.09,4,3,0,7381,3420,2
4053,Western Hills Animal Medical & Surgical Center,1,VBS Partner,TX,77356,Companion Animal,6,3,10651.15,887.6,98.62,1,1,0,7229,2991,1
1981,Longmeadow Animal Hospital,1,IMA Partner,MD,21742,Companion Animal,1,2,9893.57,824.46,274.82,28,10,2,7225,3917,1
3405,Manhasset Animal Hospital,1,VBS Partner,NY,11030,Companion Animal,1,1,1477.5,123.13,61.56,1,1,0,7040,810,1
2055,Washington Veterinary Clinic,1,IMA Partner,MO,63090,Companion Animal,2,1,10244.61,853.72,284.57,1,0,0,6979,1563,1
2537,Lamoille Valley Veterinary Services,1,VBS Partner,VT,5655,Companion Animal,9,7,18119.36,1509.95,94.37,61,35,5,6841,2113,2
75260,Capeside Animal Hospital,1,VBS Partner,NC,28451,Companion Animal,5,25,19270.87,1605.91,53.53,33,12,3,6835,3563,2
4742,Lawndale Veterinary Hospital,1,VBS Partner,NC,27455,Companion Animal,6,2,22076.35,1839.7,229.96,18,8,2,6740,3076,2
2069,Earlysville Animal Hospital,1,IMA Partner,VA,22936,Companion Animal,4,1,18785.74,1565.48,313.1,4,4,0,6704,1829,2
3923,"East Columbus Veterinary Hospital, Inc",1,VBS Partner,OH,43205,Companion Animal,5,3,11382.43,948.54,118.57,348,52,29,6673,2090,1
2187,Petlovers Animal Hospital,1,IMA Partner,OH,43068,Companion Animal,1,1,2169.94,180.83,90.41,0,0,0,6584,1839,1
15998,Norwood Animal Clinic,1,VBS Partner,WI,53225-3003,Companion Animal,4,2,1934.03,161.17,26.86,0,0,0,6402,1565,1
2181,Northland Mobile Veterinary Clinic,1,VBS Partner,MO,64156,Companion Animal,1,1,13521.9,1126.83,563.41,36,13,3,6368,1463,2
1953,Aston Vet Hospital LLC,1,IMA Partner,PA,19063,Companion Animal,12,6,9192.55,766.05,42.56,0,0,0,6272,3859,1
2025,Jacksonville Cabot Vet Clinic,1,IMA Partner,AR,72023,Companion Animal,2,1,3034.52,252.88,84.29,1,0,0,6270,629,1
75597,Animal Medical Hospital of State College,1,VBS Partner,PA,16803,Companion Animal,4,4,15171.55,1264.3,158.04,44,23,4,6114,3204,2
2156,Cayuga Veterinary Services,1,IMA Partner,NY,13021,Companion Animal,4,8,7623.33,635.28,52.94,2,2,0,6081,1066,1
4101,Wexford Veterinary Hospital,1,IMA Partner,PA,15090,Companion Animal,7,1,22366.94,1863.91,232.99,2,1,0,6051,2604,2
3771,Animal Wellness Center,1,VBS Partner,TN,38563,Companion Animal,2,6,13209.93,1100.83,137.6,40,24,3,5846,2403,2
1960,Winchester Pet Care Center,1,IMA Partner,KS,66062,Companion Animal,1,6,13638.77,1136.56,162.37,41,28,3,5836,1167,2
2974,Circle L Animal Hospital,1,VBS Partner,AZ,86323,Companion Animal,6,4,8233.77,686.15,68.61,9,5,1,5833,1198,1
2121,Massanutten Animal Clinic,1,IMA Partner,VA,22801,Companion Animal,3,2,18890.51,1574.21,314.84,26,12,2,5821,3291,2
3551,Aggie Animal Clinic,1,VBS Partner,CA,95620,Companion Animal,8,1,16465.18,1372.1,152.46,32,18,3,5819,2118,2
5719,Broadway Animal Clinic,1,VBS Partner,KS,67216,Companion Animal,3,1,6491.91,540.99,135.25,5,2,0,5791,0,1
3521,Stone Oak Veterinary Clinic,1,VBS Partner,TX,78258,Companion Animal,7,3,24645.2,2053.77,205.38,202,111,17,5754,2166,3
3294,Pets On Broadway Animal Hospital,1,VBS Partner,CO,80210,Companion Animal,4,1,13257.86,1104.82,220.96,8,4,1,5735,2609,2
3060,Evers Veterinary Clinic,1,VBS Partner,CA,95928,Companion Animal,5,5,8402.76,700.23,70.02,44,31,4,5729,2811,1
2413,Heartwood Animal Hospital,1,VBS Partner,NC,27596,Companion Animal,10,0,26554.94,2212.91,221.29,146,88,12,5728,1057,3
2003,Advanced Veterinary Care,1,IMA Partner,MO,63401,Companion Animal,2,4,10387.08,865.59,144.27,10,9,1,5722,966,1
4086,Petcare Veterinary Services,1,VBS Partner,CT,6107,Companion Animal,1,1,19782.12,1648.51,824.26,5,4,0,5701,1663,2
2138,"Animal Clinic at Upper Sandusky, Inc.",1,IMA Partner,OH,43351,Companion Animal,1,2,4724.83,393.74,131.25,0,0,0,5643,2202,1
1728,Kelley Animal Hospital,1,VBS Partner,AL,35215,Companion Animal,8,5,6071.61,505.97,38.92,9,4,1,5472,2893,1
2349,Osceola Veterinary Services,1,IMA Partner,WI,54020,Companion Animal,3,2,18906.76,1575.56,315.11,10,8,1,5463,1572,2
2233,Animal Health Center,1,IMA Partner,NE,69361,Companion Animal,5,1,6744.49,562.04,93.67,21,15,2,5443,151,1
5830,Sunflower Animal Hospital,1,VBS Partner,KS,66216,Companion Animal,2,0,25711.84,2142.65,1071.33,19,12,2,5410,1229,3
3316,Family Pet Hospital,1,VBS Partner,GA,30188,Companion Animal,2,1,7703.14,641.93,213.98,64,13,5,5302,2914,1
3814,Cumberland Valley Animal Hospital,1,VBS Partner,KY,40744,Companion Animal,3,7,2973.63,247.8,24.78,6,1,1,5244,543,1
1991,"Oconee Veterinary Hospital, PC",1,IMA Partner,GA,30677,Companion Animal,2,2,8822.99,735.25,183.81,5,1,0,5231,1521,1
1913,Columbia Animal Hospital,1,IMA Partner,PA,17512,Companion Animal,3,1,8006.12,667.18,166.79,32,13,3,5196,1674,1
3125,Uxbridge Animal Hospital,1,VBS Partner,MA,1569,Companion Animal,3,1,20052.64,1671.05,417.76,10,7,1,5171,2462,2
2255,Raytown Gregory Animal Hth Ctr,1,IMA Partner,MO,64133,Companion Animal,4,1,8145.38,678.78,135.76,0,0,0,5155,2110,1
2043,Pet Wellness Center PC,1,IMA Partner,IL,62959,Companion Animal,1,2,6763.7,563.64,187.88,7,4,1,5154,1484,1
5709,State Line Animal Hospital,1,VBS Partner,KS,66206,Companion Animal,5,4,22136.12,1844.68,204.96,50,24,4,5115,2019,2
2112,Southside Hospital for Animals,1,IMA Partner,GA,31419,Companion Animal,7,2,26861.67,2238.47,248.72,50,22,4,5099,107,3
5801,University Animal Clinic,1,VBS Partner,FL,34201,Companion Animal,5,4,10187.85,848.99,94.33,5,1,0,5046,2123,1
1899,"Meadowbrook Veterinary Clinic, P.C.",1,IMA Partner,IL,61614,Companion Animal,8,1,6821.47,568.46,63.16,2,1,0,5028,2266,1
2205,Animal Wellness Center,1,IMA Partner,FL,33414,Companion Animal,3,5,21070.29,1755.86,219.48,120,41,10,5012,2120,2
2001,Midshore Veterinary Service,1,IMA Partner,MD,21601,Companion Animal,4,12,28489.1,2374.09,148.38,35,24,3,5011,2291,3
2586,Bay Area Veterinary Hospital,1,VBS Partner,MD,21619,Companion Animal,8,5,25699.04,2141.59,164.74,153,77,13,4992,1257,3
10349,Rohrig Animal Hospital,1,VBS Partner,NE,68002,Companion Animal,2,6,4108.46,342.37,42.8,9,5,1,4937,395,1
5704,Layton Animal Hospital,1,VBS Partner,WI,53221,Companion Animal,3,10,9620.56,801.71,61.67,35,17,3,4899,2983,1
3103,Falls Church Animal Hospital,1,IMA Partner,VA,22046,Companion Animal,14,3,29337.42,2444.79,143.81,393,134,33,4807,4127,3
4094,Sanford Animal Hospital,1,VBS Partner,NC,27332,Companion Animal,4,2,3424.92,285.41,47.57,12,3,1,4797,347,1
3778,Dominion Animal Hospital,1,VBS Partner,VA,20170,Companion Animal,10,10,26701.99,2225.17,111.26,56,32,5,4790,2332,3
3737,Wesley Chapel Veterinary Services,1,VBS Partner,FL,33544,Companion Animal,3,1,184.8,15.4,3.85,0,0,0,4754,1218,1
3754,Legacy Veterinary Hospital,1,IMA Partner,TX,75034,Companion Animal,8,7,23844.86,1987.07,132.47,18,8,2,4723,3236,2
1975,Animal Care Center,1,IMA Partner,KS,66701,Companion Animal,1,1,4027.03,335.59,167.79,5,4,0,4665,1084,1
3436,Vienna Animal Hospital,1,VBS Partner,VA,22180,Companion Animal,5,0,6891.51,574.29,114.86,39,26,3,4592,3788,1
5800,River's Edge Veterinary Hospital,1,VBS Partner,IL,62960,Companion Animal,3,1,5961.41,496.78,124.2,36,15,3,4543,1689,1
2362,Brooklyn Veterinary Hospital,1,IMA Partner,CT,6234,Companion Animal,4,2,10036.56,836.38,139.4,11,4,1,4502,1770,1
2174,Brookfield Animal Hospital,1,IMA Partner,CT,6804,Companion Animal,7,6,8565.39,713.78,54.91,9,3,1,4500,2866,1
5632,Hickory Flat Animal Hospital,1,VBS Partner,GA,30115,Companion Animal,6,1,24770.53,2064.21,294.89,12,10,1,4496,1224,3
5703,Redland Animal Hospital,1,VBS Partner,FL,33031,Companion Animal,5,1,8610.22,717.52,119.59,14,8,1,4485,1258,1
4279,Suburban Animal Clinic of Monroe,1,VBS Partner,MI,48161,Companion Animal,2,0,747.42,62.29,31.14,0,0,0,4447,820,1
4273,Park Grove Pet Hospital,1,VBS Partner,MN,55016,Companion Animal,7,4,23924.64,1993.72,181.25,32,24,3,4319,2049,2
1890,"Brandywine Valley Veterinary Hospital, Inc.",1,IMA Partner,PA,19320,Companion Animal,5,0,28240.44,2353.37,470.67,56,29,5,4212,2309,3
2161,Thone Animal Care Of Blair,1,IMA Partner,NE,68008,Companion Animal,2,1,1426.04,118.84,39.61,4,2,0,4189,281,1
1964,"Crossroads Animal Hospital, LLC",1,IMA Partner,SC,29678,Companion Animal,1,0,4955.72,412.98,412.98,8,4,1,4090,825,1
5877,East West Animal Hospital LLC,1,IMA Partner,FL,33548,Companion Animal,1,3,29666.73,2472.23,618.06,100,96,8,4035,1833,3
5762,Pet Kare Clinic,1,VBS Partner,CO,80488,Companion Animal,6,2,23430.01,1952.5,244.06,68,32,6,4018,2781,2
2431,Kings Bay Veterinary Hospital,1,VBS Partner,NY,11223,Companion Animal,3,1,9574,797.83,199.46,91,42,8,3989,539,1
1894,Ridgeview Animal Hospital,1,IMA Partner,NE,68130,Companion Animal,4,8,16269.14,1355.76,112.98,9,5,1,3989,1581,2
5824,Bell Road Animal Medical Center,1,VBS Partner,AL,36117,Companion Animal,1,8,27931.22,2327.6,258.62,163,48,14,3982,1081,3
2772,Green Cove Animal Hospital,1,VBS Partner,FL,32043,Companion Animal,2,0,12095.29,1007.94,503.97,63,33,5,3916,1044,2
2252,Brewster Veterinary Hospital,1,IMA Partner,MA,2631,Companion Animal,5,1,19511.76,1625.98,271,13,8,1,3903,1744,2
1957,Spoon River Animal Clinic PC,1,IMA Partner,IL,61520,Companion Animal,5,1,8718.79,726.57,121.09,3,3,0,3898,1058,1
2536,Doc Side Veterinary Medical Center,1,VBS Partner,MD,21231,Companion Animal,14,2,25351.69,2112.64,132.04,127,70,11,3818,2974,3
4251,Greenlawn Animal Hospital,1,IMA Partner,NY,11740,Companion Animal,1,0,20666.11,1722.18,1722.18,88,17,7,3783,1518,2
1959,Norton Animal Hospital Inc,1,IMA Partner,MA,2766,Companion Animal,7,2,20975.47,1747.96,194.22,16,8,1,3766,2359,2
3225,Noah's Ark Animal Hospital,1,VBS Partner,KY,40502,Companion Animal,2,0,15962.69,1330.22,665.11,142,48,12,3765,1969,2
1841,Okaw Veterinary Clinic,1,IMA Partner,IL,61953,Companion Animal,1,2,25726.48,2143.87,714.62,46,14,4,3750,839,3
6023,Yardville Animal Hospital,1,IMA Partner,NJ,8620,Companion Animal,3,3,14341.04,1195.09,199.18,76,56,6,3742,440,2
4420,Pioneer Valley Veterinary Hospital,1,VBS Partner,MA,1301,Companion Animal,3,2,9630.1,802.51,160.5,34,19,3,3700,1437,1
6014,Walnut Creek Veterinary Clinic,1,VBS Partner,NE,68046,Companion Animal,3,12,12577.8,1048.15,69.88,32,14,3,3677,2457,2
3469,Pet First Animal Hospital,1,VBS Partner,FL,34203,Companion Animal,5,1,3497.32,291.44,48.57,3,3,0,3650,832,1
2668,Coolridge Animal Hospital,1,IMA Partner,MD,20748,Companion Animal,8,2,3414.53,284.54,28.45,6,3,1,3581,2673,1
4465,Parkway Animal Clinic,1,VBS Partner,MI,48103,Companion Animal,2,1,20788.58,1732.38,577.46,85,45,7,3563,546,2
3505,Cat Hospital of Sarasota,1,VBS Partner,FL,34233,Companion Animal,3,1,2622.6,218.55,54.64,0,0,0,3542,122,1
2464,Bel-Aire Veterinary Hospital,1,VBS Partner,NC,27409,Companion Animal,3,2,12986.03,1082.17,216.43,49,20,4,3444,1091,2
2735,Chantilly Animal Hospital,1,IMA Partner,VA,20151,Companion Animal,11,4,10237.54,853.13,56.88,93,35,8,3401,2365,1
3489,"Thoreau Veterinary Hospital, Inc.",1,IMA Partner,PA,18045,Companion Animal,5,6,3111.49,259.29,23.57,4,1,0,3391,1047,1
2713,Sykesville Veterinary Clinic,1,VBS Partner,MD,21784,Companion Animal,7,0,20591.65,1715.97,245.14,23,11,2,3348,1895,2
2337,Kennebunk Veterinary Hospital,1,IMA Partner,ME,4043,Companion Animal,5,1,14667.67,1222.31,203.72,7,2,1,3346,1577,2
4403,East Coast Veterinary Services,1,VBS Partner,FL,32958,Companion Animal,8,0,12398.23,1033.19,129.15,53,19,4,3324,757,2
4537,Baxter Veterinary Clinic,1,VBS Partner,SC,29708,Companion Animal,4,0,11513,959.42,239.85,31,17,3,3323,2863,1
1930,Animal Health Clinic of Funkstown,1,IMA Partner,MD,21734,Companion Animal,6,1,10169.72,847.48,121.07,1,0,0,3311,2413,1
3656,Pet Care Associates,1,VBS Partner,GA,30542,Companion Animal,2,6,13802.85,1150.24,143.78,28,16,2,3307,1743,2
2742,Greater South River Animal Hospital,1,VBS Partner,MD,21037,Companion Animal,6,14,17650.63,1470.89,73.54,31,18,3,3297,1951,2
2016,Hickman Run Animal Hospital,1,IMA Partner,WV,26554,Companion Animal,1,0,7188.45,599.04,599.04,2,2,0,3241,667,1
2507,Bay Country Veterinary Hospital,1,VBS Partner,MD,21032,Companion Animal,10,4,828.49,69.04,4.93,4,1,0,3233,2724,1
4401,Live Oak Veterinary Clinic of Moncks Corner,1,VBS Partner,SC,29461,Companion Animal,2,1,25065.18,2088.77,696.26,27,20,2,3229,1241,3
3819,Animal Hospital of Fate,1,VBS Partner,TX,75087,Companion Animal,2,0,6445.47,537.12,268.56,29,15,2,3187,770,1
1978,Winterset Veterinary Center,1,IMA Partner,IA,50273,Companion Animal,1,0,9031.87,752.66,752.66,1,1,0,3157,745,1
2066,Freeport Veterinary Hospital,1,IMA Partner,ME,4032,Companion Animal,9,14,17245.96,1437.16,62.49,37,14,3,3070,1328,2
3942,Holcomb Bridge Animal Hospital,1,IMA Partner,GA,30076,Companion Animal,5,1,10986.09,915.51,152.58,28,18,2,3024,1513,1
3252,Animal Hospital of Mount Pocono,1,IMA Partner,PA,18344,Companion Animal,1,0,4220.53,351.71,351.71,6,3,1,3007,991,1
2745,Parkview Veterinary Hospital,1,VBS Partner,CA,93940,Companion Animal,3,0,4027.69,335.64,111.88,0,0,0,2983,1077,1
3006,Spinnaker Veterinary Clinic,1,VBS Partner,MA,2726,Companion Animal,5,0,5877.01,489.75,97.95,13,7,1,2981,767,1
2435,All Pets Medical & Laser Surgical Center,1,VBS Partner,TX,77845,Companion Animal,3,6,5688.47,474.04,52.67,9,5,1,2980,1265,1
2171,Animal Kingdom Vet Care Center LLC,1,IMA Partner,IA,52317,Companion Animal,4,0,5148.75,429.06,107.27,2,1,0,2914,1544,1
2119,Arnold Pet Station,1,IMA Partner,MD,21012,Companion Animal,6,4,17420.74,1451.73,145.17,9,4,1,2881,1459,2
4070,Belle Plaine Animal Hospital,1,VBS Partner,MN,56011,Companion Animal,1,3,12974.75,1081.23,270.31,22,14,2,2863,1465,2
4032,All Animals Veterinary Hospital,1,VBS Partner,NC,27330,Companion Animal,3,2,7060.94,588.41,117.68,10,3,1,2859,1078,1
76920,The Animal Medical Center of the Lowcountry,1,IMA Partner,SC,29907,Companion Animal,1,2,726.45,60.54,20.18,0,0,0,2849,1922,1
2150,Pine Point Animal Hospital PA,1,IMA Partner,ME,4074,Companion Animal,6,2,9570.98,797.58,99.7,4,2,0,2820,2118,1
2149,Joseph A. Kobuszewski DVM,1,IMA Partner,KS,66088,Companion Animal,1,1,3511.93,292.66,146.33,36,5,3,2806,10,1
2585,Bellefonte Animal Clinic,1,VBS Partner,KY,41169,Companion Animal,3,1,13951.66,1162.64,290.66,11,6,1,2780,1034,2
4277,North Port Animal Hospital,1,VBS Partner,FL,34287,Companion Animal,5,0,23083.13,1923.59,384.72,191,73,16,2740,448,2
