DVM ID,Practice Name,Active,Catalog,Partner,MVM,VC,VFC1,Addr1,City,State,Zip,Go Live Date,Vet Users,Staff Users,Activated On,Emails,Total Revenue,Average,CM,Written Rx,Converted
6013,St. Matthews Animal Clinic,1,VFC_00006339,VBS Partner,,,,111R Fairfax Avenue,Louisville,KY,40207,4/25/13,7,20,6/28/13,3446,183291.24,1991.025435,TRUE,60,34
99729,Brighton Animal Clinic,1,VFC_00006581,VBS Partner,,,,1875 Pleasant Ridge Drive,Lexington,KY,40509,5/29/14,4,3,5/9/14,1870,100433.92,1930.575385,TRUE,10,8
2600,Greater Annapolis Veterinary Hospital,1,VFC_00006334,VBS Partner,,201238,,1901 Generals Highway,Annapolis,MD,21401,5/23/12,41,32,4/7/14,5948,185064.95,2221.237901,TRUE,103,51
3422,Mandarin Veterinary Clinic,1,VFC_00006332,VBS Partner,,215252,,11587 San Jose Blvd,Jacksonville,FL,32223,5/23/12,1,2,2/28/13,1308,273307.56,1894.089672,TRUE,29,23
4399,Maitland Veterinary Clinic,1,VFC_00004903,VBS Partner,,226205,,671 North Orlando Ave,Maitland,FL,32751,5/23/12,6,1,8/31/13,1065,265509.46,1824.538934,TRUE,64,25
5072,Mt. Pleasant Veterinary Clinic,1,VFC_00006426,VBS Partner,,225545,,209 Mt. Pleasant Road,Chesapeake,VA,23322,11/22/13,3,2,12/11/13,2058,123678.96,1832.723582,TRUE,158,59
82737,Peach Grove Animal Hospital,1,VFC_00006592,VBS Partner,,,,5636 Springdale Road,Cincinnati,OH,45251,6/10/14,6,2,6/12/14,1848,81062.78,1793.644,TRUE,174,83
2798,Heart of Chelsea Animal Hospital,1,VFC_00004808,VBS Partner,,212029,,257 West 18th Street,New York,NY,10011,5/23/12,16,5,12/13/13,4918,239811.89,1754.341066,TRUE,28,18
2105,Bean Blossom Animal Clinic,1,VFC_00000090,IMA Partner,,,,4915 N State Road 135,Nashville,IN,47448,Unknown,2,6,3/18/14,3030,253180.37,1797.936068,TRUE,3,1
3048,Care Pets Animal Hospital,1,VFC_00004602,VBS Partner,,213128,,8800 Old Highway 60,Sellersburg,IN,47172,5/23/12,3,15,5/15/12,1692,254949.16,1718.266639,TRUE,142,84
79520,Panther Creek Pet Clinic,1,VFC_00006523,VBS Partner,,,,"4775 Panther Creek, Suite 135",The Woodlands,TX,77381,4/16/14,4,8,3/18/14,2007,88723.02,1722.371176,TRUE,16,16
4276,Telford Veterinary Hospital,1,VFC_00005111,VBS Partner,,224525,,78 Souderton Hatfield Pike,Souderton,PA,18964,5/23/12,2,12,6/15/12,1485,249641.55,1653.18541,TRUE,334,103
4673,Rainbow Veterinary Clinic,1,VFC_00005028,VBS Partner,,213008,,2636 Noble Rd.,Cleveland Heights,OH,44121,5/23/12,2,6,2/6/14,1660,228648.38,1683.300504,TRUE,394,115
85591,Blanding Boulevard Animal Hospital,1,VFC_00006896,IMA Partner,,,,5610 Blanding Boulevard,Jacksonville,FL,32244,4/2/14,1,1,3/1/15,311,17808.51,1747.066,FALSE,199,110
4617,Connecticut Valley Veterinary Associates,1,VFC_00005206,VBS Partner,,219815,,730 Randolph Rd.,Middletown,CT,6457,5/2/12,51,9,6/15/12,4327,172927.29,1720.833814,TRUE,38,15
4016,CityPaws Animal Hospital,1,VFC_00004636,VBS Partner,,220460,,1823 14th St. NW,Washington,DC,20009,5/23/12,12,3,3/15/13,4274,209746.86,1582.853058,TRUE,85,42
93805,"Countryside Animal Clinic, Inc.",1,VFC_00006625,VBS Partner,,,,3628 N. Lecanto Highway,Beverly Hills,FL,34465,7/30/14,7,4,8/4/14,2769,57199.87,1573.397778,TRUE,8,4
81102,Stack Veterinary Hospital,1,VFC_00006767,VBS Partner,,,,5092 Velasko Rd.,Syracuse,NY,13215,4/2/14,9,5,1/7/15,2940,25271.18,1486.54,TRUE,85,41
2426,Kirkpatrick Veterinary Hospital,1,VFC_00004860,VBS Partner,,202,,2401 S. Orange Ave.,Orlando,FL,32806,5/23/12,5,1,9/28/12,1838,219710.74,1684.741443,TRUE,34,31
2690,Bees Ferry Veterinary Hospital,1,VFC_00004549,VBS Partner,,211552,,3422 SHELBY RAY CT,Charleston,SC,29414,5/23/12,10,3,5/15/12,4068,200987.45,1474.438333,TRUE,111,29
75320,Midwest Animal Hospital,1,VFC_00006553,IMA Partner,,,,11205 183rd Place,Orland Park,IL,60467-4903,4/14/14,16,1,4/7/14,6530,79701.46,1496.795192,TRUE,55,20
92584,Dominion Equine Clinic,1,VFC_00006866,VBS Partner,,,,2451 Lake Cohoon Rd,Suffolk,VA,23434,4/2/14,6,4,3/6/15,0,8268.99,1378.165,FALSE,5,4
4682,Murphy Road Animal Hospital,1,VFC_00004940,VBS Partner,,217812,,4408 Murphy Road,Nashville,TN,37209,5/23/12,13,4,10/31/13,3124,130639.06,1595.369868,TRUE,66,46
4400,Carolinas Veterinary Medical Hospital,1,VFC_00004605,VBS Partner,,226214,,10330 Feld Farm Lane,Charlotte,NC,28210,5/23/12,5,10,5/15/12,1375,186600.99,1382.371525,TRUE,84,46
98938,Tipp City Veterinary Hospital,1,VFC_00006542,VBS Partner,,,,4900 South County Road 25A,Tipp City,OH,45371,4/9/14,5,6,4/14/14,2627,72723.94,1400.019412,TRUE,171,79
2619,Salisbury Animal Hospital,1,VFC_00006349,VBS Partner,,201371,,925 Boundary St,Salisbury,MD,21801,5/23/12,2,3,6/28/13,811,157745.68,1451.227087,FALSE,17,8
2523,Conejo Valley Veterinary Hospital,1,VFC_00003991,VBS Partner,,1161,,3580 Willow Lane,Thousand Oaks,CA,91361-4921,5/2/12,29,5,11/13/14,3567,36244.96,1335.9728,TRUE,103,40
4082,The Purr and Bark VMD,1,VFC_00005125,VBS Partner,,221212,,8471 Garvey Drive,RALEIGH,NC,27616,5/23/12,1,,9/17/12,1369,179419.31,1305.660248,TRUE,77,39
94947,Deepwood Veterinary Clinic,1,VFC_00006841,IMA Partner,,,,7300 Ordway Rd.,Centreville,VA,20121,4/2/14,8,1,2/5/15,2460,14403.18,1386.758,TRUE,279,61
3585,Hunt Valley Animal Hospital,1,VFC_00004838,VBS Partner,,216348,,11206 York Road,Hunt Valley,MD,21030,5/23/12,10,5,5/31/12,2090,169758.28,1398.356132,TRUE,98,52
4678,Clevengers Corner Veterinary Care,1,VFC_00004638,VBS Partner,,214427,,18157 Lee Highway,Amissville,VA,20106,5/23/12,6,2,11/1/12,1354,170026.31,1291.152773,TRUE,8,4
3449,Northern Pike Veterinary Hospital,1,VFC_00002167,VBS Partner,,215404,,4264 Northern Pike,Monroeville,PA,15146,7/12/12,8,6,12/17/12,1427,151615.83,1311.282523,TRUE,2,1
4753,Atlas Vet DC,1,VFC_00002068,VBS Partner,,,,1326 H Street NE,Washington,DC,20002,7/12/12,6,6,12/11/13,2774,135688.59,1285.356869,TRUE,15,13
1896,Gunston and Dale City Animal Hospitals,1,VFC_00000066,IMA Partner,,213021,,7685 Armistead Rd,Lorton,VA,22079,Unknown,13,6,2/28/13,3417,123308.55,1486.463239,TRUE,33,18
111427,Kings Veterinary Hospital,1,VFC_00007001,IMA Partner,,,,3335 West State Route 22/3,Loveland,OH,45140,4/1/15,4,14,4/17/15,2679,3510.9,2678.4,TRUE,29,9
2606,Holly Tree Animal Hospital,1,VFC_00004823,VBS Partner,,201287,,1332 South Highway 14,Simpsonville,SC,29681,5/23/12,3,,7/24/14,1516,118431.19,1375.888553,TRUE,122,56
93586,Animal Hospital of Nicholasville,1,VFC_00006623,VBS Partner,,,,10 Wichita Dr,Nicholasville,KY,40356,4/2/14,4,7,5/7/15,2311,1165.87,1165.87,TRUE,16,4
3835,Central Animal Hospital,1,VFC_00004623,VBS Partner,,218306,,971 East Hamilton Ave,Campbell,CA,95008-0656,9/8/14,15,1,4/24/14,2429,170356.04,1217.499912,TRUE,154,124
73158,VETdispatch,1,VFC_00006457,IMA Partner,,,,P.O. Box 200,Flanders,NJ,7836,12/6/13,13,15,12/13/13,1066,84772.52,1203.121304,TRUE,309,154
2776,All Pets Animal Hospital & 24 Hour Emergency Care,1,VFC_00004468,VBS Partner,,211954,,24221 KINGSLAND BLVD,KATY,TX,77494,5/23/12,11,2,11/26/14,3663,41582.93,1363.5256,TRUE,188,89
1948,San Francisco SPCA Veterinary Hospital,1,VFC_00000717,IMA Partner,,212191,,201 Alabama Street,San Francisco,CA,94103,Unknown,43,13,12/22/14,0,94665.73,2899.618333,FALSE,172,81
1898,Bay Area Veterinary Housecalls,1,VFC_00000277,IMA Partner,,,,PO Box 2062,League City,TX,77574,Unknown,1,,6/2/14,598,147389.68,1289.837959,FALSE,129,107
106208,Foxwood Equine Sports Medicine,1,VFC_00006695,VBS Partner,,,,Mobile Practice,Lexington,KY,40502,10/20/14,2,1,10/31/14,0,18259.79,1456.100909,FALSE,17,10
5178,Pet Care Veterinary Hospital,1,VFC_00005564,VBS Partner,,222176,,5201 A Virginia Beach Blvd,Virginia Beach,VA,23462,7/9/14,6,7,7/18/14,3960,43847.33,1199.29,TRUE,132,70
4203,Suffolk Veterinary Group Animal Wellness & Laser Surgery Center,1,VFC_00005097,VBS Partner,,222966,,856 Middle Country Road,Selden,NY,11784,5/23/12,4,1,5/31/12,1607,163861.3,1124.608898,TRUE,392,106
82821,Beechwold Veterinary Hospital,1,VFC_00006612,VBS Partner,,,,4590 Indianola Ave,Columbus,OH,43214,7/8/14,8,2,7/2/14,4493,43500.03,1141.355676,TRUE,11,2
4692,Brady's Run Veterinary Hospital,1,VFC_00002061,IMA Partner,,,,443 Constitution Boulevard,New Brighton,PA,15066,5/16/12,3,,11/1/12,1462,141769.51,1176.613364,TRUE,8,6
4965,Clinton Veterinary Hospital,1,VFC_00005351,IMA Partner,,212558,,93 Old Post Road,Clinton,CT,6413,6/13/12,5,1,3/30/15,1518,4430.4,1302.733333,TRUE,45,11
105995,Animal Wellness Clinic of Tamarac,1,VFC_00006681,VBS Partner,,,,6065 W Commercial Blvd.,Tamarac,FL,33319,10/9/14,5,8,10/12/14,1416,27974.76,1128.481667,TRUE,65,43
3219,Griffith Small Animal Hospital,1,VFC_00004792,VBS Partner,,214022,,3407 NORTHLAND DR,AUSTIN,TX,78731,5/23/12,17,3,12/30/13,532,157567.53,1120.722883,FALSE,46,17
80293,Rehm Animal Clinic at Hillcrest and Schillinger,1,VFC_00006737,VBS Partner,,,,951 Hillcrest Rd,Mobile,AL,36695,4/2/14,11,23,11/20/14,2228,23338.79,1212.337222,TRUE,126,44
2018,Berrien Veterinary Services,1,VFC_00000741,IMA Partner,,,,9719 Hills rd,Baroda,MI,49101,Unknown,3,2,4/8/14,1289,140129.14,1102.089346,TRUE,3,3
84028,Nutley Animal Hospital,1,VFC_00006740,VBS Partner,,,,274 Washington Ave.,Nutley,NJ,7110,4/2/14,6,3,12/18/14,469,17138.78,1094.107333,FALSE,416,103
3245,Animal Diagnostic & Wellness Center,1,VFC_00004487,IMA Partner,,214170,,11816 North 56th Street,Temple Terrace,FL,33617,5/23/12,1,,5/15/12,579,136563.88,1042.446972,FALSE,178,86
96021,Equine Specialty Hospital,1,VFC_00006749,VBS Partner,,,,17434 Rapids Rd.,Burton,OH,44021,4/2/14,3,3,12/5/14,0,6170.38,1249.875,FALSE,3,0
81911,Ayer Animal Medical Center,1,VFC_00006708,VBS Partner,,,,196 West Main St,Ayer,MA,1432,4/2/14,2,3,11/13/14,868,21663.35,1071.681579,FALSE,303,115
94580,Central Veterinary Hospital,1,VFC_00006963,IMA Partner,,,,1212 West Clinch Ave.,Knoxville,TN,37916,4/2/14,6,3,4/17/15,3092,3967.55,959.425,TRUE,67,14
4791,Murray Hill Pet Hospital,1,VFC_00002161,IMA Partner,,217409,,47 East 30th Street,New York,NY,10016,6/8/12,1,,2/5/15,1428,11914.24,955.4081818,TRUE,62,14
103202,Dearborn Animal Hospital,1,VFC_00006812,VBS Partner,,,,235 Dekalb Industrial Way,Decatur,GA,30030,1/14/15,8,2,2/9/15,2722,8666.5,1105.857143,TRUE,17,8
3127,Westerville Veterinary Clinic LLC,1,VFC_00005188,VBS Partner,,213503,,69 Huber Village Blvd,Westerville,OH,43081,5/23/12,4,6,6/11/14,1640,142098.95,1050.973535,TRUE,27,26
85609,Highlands Veterinary Center,1,VFC_00006777,VBS Partner,,,,1615 Volvo Parkway,Chesapeake,VA,23320,4/2/14,2,2,1/8/15,1124,14516.36,1060.043077,TRUE,180,30
3029,Animal Medical Center of Mt. Washington,1,VFC_00004506,VBS Partner,,213042,,1620 Sulgrave Ave.,Baltimore,MD,21209,5/23/12,13,1,3/11/14,2329,160848.68,1042.206863,TRUE,20,11
3755,Western Branch Veterinary Hospital,1,VFC_00005186,VBS Partner,,217605,,3320 Taylor Rd.,Chesapeake,VA,23321,5/23/12,13,1,2/28/13,917,118670.68,996.4801905,FALSE,21,12
94004,Kindred Spirits Veterinary Clinic,1,VFC_00006746,VBS Partner,,,,857 River Road,Orrington,ME,4474,4/2/14,3,2,12/3/14,1418,14042.1,1124.037273,TRUE,262,68
91305,Standish Veterinary Hospital,1,VFC_00006922,VBS Partner,,,,22 Rose Lane,Standish,ME,4084,4/2/14,4,3,3/19/15,1526,4541.73,908.346,TRUE,3,3
2598,Nova Cat Clinic,1,VFC_00003265,VBS Partner,,201229,,923 N. Kenmore Street,Arlington,VA,22201,10/17/13,11,2,12/11/13,1968,69741.82,960.7786567,TRUE,32,16
106883,North Bridge Equine Associates,1,VFC_00006743,VBS Partner,,,,1487 Monument St,Concord,MA,1742,11/26/14,2,1,11/27/14,0,15568.45,1079.285385,FALSE,31,21
2620,Short Pump Animal Hospital,1,VFC_00005071,VBS Partner,,201372,,4730 Pouncey Tract Rd.,Glen Allen,VA,23059,5/23/12,5,1,5/15/12,1735,132686.81,985.4725714,TRUE,69,15
2873,"Falmouth Veterinary Hospital, Inc.",1,VFC_00004017,VBS Partner,,212312,,174 U.S. Route 1,Falmouth,ME,4105,9/9/14,8,2,9/10/14,4044,28280.39,986.6303846,TRUE,14,5
94328,Essex Veterinary Center,1,VFC_00006675,VBS Partner,,,,4 Oliver Wight Drive,Essex Junction,VT,5452,9/26/14,4,1,10/9/14,1857,25079.48,1061.525909,TRUE,370,51
2917,Independence Veterinary Clinic,1,VFC_00003726,VBS Partner,,212534,,2328 Crownpoint Executive Dr,Charlotte,NC,28227,4/21/14,3,3,4/26/14,1168,49513.65,975.0936957,TRUE,105,38
2483,Shelby Street Veterinary Hospital,1,VFC_00005067,VBS Partner,,870,,7220 Burlington Pike Suite. B,Florence,KY,41042,5/23/12,5,1,10/15/12,625,123787.44,968.1631683,FALSE,9,7
105440,ABE Veterinary Hospital,1,VFC_00006663,IMA Partner,,,,2102 Walbert Ave,Allentown,PA,18104,9/9/14,3,3,9/11/14,1729,27556.06,1035.937083,TRUE,33,19
5877,East West Animal Hospital LLC,1,VFC_00006321,IMA Partner,,,,1524 Land O Lakes Blvd,Lutz,FL,33548,1/22/13,1,3,5/20/13,1116,75039.14,1066.97082,TRUE,107,84
3083,Pet House Calls PLLC,1,VFC_00004997,VBS Partner,,213295,,5120 Bur Oak Cr,Raleigh,NC,27612,5/23/12,3,,11/15/13,285,119464.78,980.7886458,FALSE,120,49
11762,South Charlotte Animal Hospital,1,VFC_00006401,VBS Partner,,,,304 South Polk St.,Pineville,NC,28134,10/10/13,1,1,9/30/13,1225,74830.16,987.9146377,TRUE,83,39
2366,Bethany Animal Hospital LLC,1,VFC_00002027,IMA Partner,,212042,,2400 Bethany Road,Sycamore,IL,60178,Unknown,6,25,2/28/13,2851,106310.81,976.8093617,TRUE,11,4
101699,Emory Animal Hospital,1,VFC_00006621,VBS Partner,,,,2311 West Emory Road,Powell,TN,37849,7/23/14,1,,8/24/14,1560,32346.23,1000.904643,TRUE,282,86
3523,Arlington Animal Hospital,1,VFC_00004516,VBS Partner,,215864,,2624 Columbia Pike,Arlington,VA,22204,5/23/12,7,3,3/29/13,2618,90739.44,975.3764634,TRUE,0,0
4483,Cotswold Animal Hospital,1,VFC_00004661,VBS Partner,,226537,,401 South Sharon Amity Road,Charlotte,NC,28211,5/23/12,1,6,5/15/12,1350,113689,1034.220581,TRUE,35,22
2871,Caring Hands Animal Hospital of Centreville,1,VFC_00003273,VBS Partner,,212302,,5659 Stone Road,Centreville,VA,20120,8/21/14,14,8,9/4/14,4350,30600,953.4057143,TRUE,53,21
2320,Acredale Animal Hospital,1,VFC_00000899,IMA Partner,,221145,,1200 Lake James Drive,Virginia Beach,VA,23464,Unknown,6,,10/17/11,9661,102932.87,1031.290123,TRUE,1,1
5794,Andover Veterinary Clinic,1,VFC_00006223,IMA Partner,1811,,,517 West Central Ave,Andover,KS,67002,1/14/13,5,3,3/15/11,1243,111288.55,903.129619,TRUE,50,20
84052,The Oaks Veterinary Clinic Equine & Farm Services,1,VFC_00006691,VBS Partner,,,,14202 BENNS CHURCH BLVD,Smithfield,VA,23430,10/16/14,9,3,12/22/14,0,8007.39,1193.568,FALSE,18,7
110783,Nash Animal Hospital,1,VFC_00006928,IMA Partner,,,,7132 State Rt. 3,Westerville,OH,43082,3/12/15,1,2,3/19/15,497,4352.55,831.95,FALSE,10,7
111596,3H Veterinary Service,1,VFC_00007009,VBS Partner,,,,96 Poole Road East,New Hill,NC,27596,4/7/15,1,2,4/17/15,0,1742.36,1370.26,FALSE,2,2
99002,South Orlando Animal Hospital,1,VFC_00006548,VBS Partner,,,,11265 South Orange Blossom Trail,Orlando,FL,32837,4/11/14,5,6,4/22/14,1866,44087.14,912.1246667,TRUE,8,6
91470,Lakeshore Veterinary Hospital & Pet Lodge,1,VFC_00006765,VBS Partner,,,,155 Moores Rd,Mandeville,LA,70471,4/2/14,3,4,12/23/14,603,15743.91,989.2735714,FALSE,61,40
3224,The Pet Doctor,1,VFC_00005124,IMA Partner,,214041,,10215 Highway 193 East,Williston,TN,38076,5/23/12,1,1,5/31/12,455,107808.14,938.8737778,FALSE,261,66
83508,Riverside Drive Animal Care Center,1,VFC_00006613,VBS Partner,,,,6924 Riverside Dr,Dublin,OH,43017,7/8/14,5,3,7/11/14,3395,31924.95,1082.9564,TRUE,86,22
84145,Pleasanton Veterinary Hospital,1,VFC_00006926,VBS Partner,,,,3059-B Hopyard Rd,Pleasanton,CA,94588,4/2/14,6,1,3/13/15,1908,4307.35,935.8125,TRUE,4,0
3842,Nicks Veterinary Hospital,1,VFC_00004951,VBS Partner,,218377,,3100 S. Tryon St,Charlotte,NC,28217,5/23/12,1,,5/15/12,691,110896.63,918.5982474,FALSE,323,65
5855,Parkwood Animal Hospital,1,VFC_00006196,VBS Partner,1807,,,1301 W. Parkwood Ave.,Friendswood,TX,77546,1/10/13,5,,4/15/11,2129,100462.73,936.067619,TRUE,24,17
2073,Martinez Animal Hospital,1,VFC_00000323,IMA Partner,,214324,,5055 Alhambra Ave,Martinez,CA,94553,Unknown,4,11,7/16/13,1999,91639.83,941.5114458,TRUE,34,26
2247,Town & Country Veterinary Clinic,1,VFC_00006394,IMA Partner,,1058,,1343 Gresham Rd,Marietta,GA,30062,Unknown,6,1,1/18/11,5083,71416.83,961.1270313,TRUE,2,0
1906,"Ralston Veterinary Clinic, Inc",1,VFC_00000565,IMA Partner,,,,6880 S 78 Street,Ralston,NE,68127,Unknown,15,11,7/1/11,9827,95652.54,1057.502113,TRUE,108,37
2179,"PawSteps Veterinary Center, Inc.",1,VFC_00006482,VBS Partner,,,,1700 Providence Road,Northbridge,MA,1534,2/2/14,5,6,7/1/11,1481,65557.81,1013.8372,TRUE,28,15
2973,Prince William Animal Hospital,1,VFC_00005021,VBS Partner,,212793,,10227 Nokesville Road,Manassas,VA,20110,5/23/12,6,30,5/15/12,1352,94816.62,993.2695833,TRUE,9,3
2409,Hoffman Animal Hospital,1,VFC_00004819,VBS Partner,,41,,15 Old Mill Bottom Rd N,Annapolis,MD,21409,5/23/12,7,10,6/15/12,1447,110197.06,911.3072222,TRUE,49,30
5452,Cat Clinic of Cary,1,VFC_00006305,VBS Partner,,218746,,2464 SW CARY PKWY,CARY,NC,27513,3/13/13,3,2,3/29/13,1164,81545.04,875.1071429,TRUE,57,18
2113,"Union Lake Veterinary Hospital, P.C.",1,VFC_00000705,IMA Partner,,218537,,6545 Cooley Lake Rd,Waterford,MI,48327,Unknown,1,1,7/17/11,3640,114044.89,884.0244792,TRUE,1,1
2350,Kindness Animal Hospital,1,VFC_00002017,IMA Partner,,214715,,20 Linden Street,Waltham,MA,2452,Unknown,4,3,4/30/13,3041,95215.21,982.5129333,TRUE,20,5
99420,Stream Valley Veterinary Hospital,1,VFC_00006566,VBS Partner,,,,42902 Waxpool Road,Ashburn,VA,20148,4/27/14,8,4,6/16/14,2749,36292.81,880.6410526,TRUE,220,53
2449,Haverford Animal Hospital,1,VFC_00004803,VBS Partner,,507,,517 W LANCASTER AVE,HAVERFORD,PA,19041,5/23/12,2,2,4/24/14,1183,81025.14,970.16,TRUE,47,21
101052,Grand Prix Equine,1,VFC_00008524,IMA Partner,,,,P.O. Box 37,Hawleyville,CT,6440,3/30/15,2,2,4/8/15,0,3040.1,1262.3,FALSE,11,5
1836,"Animal Hospital of New Albany, Inc.",1,VFC_00000416,IMA Partner,,,,3033 Reynoldsburg-New Albany Rd,New Albany,OH,43054,Unknown,2,4,3/11/14,2004,105359.77,900.1922093,TRUE,3,3
99419,Pekin Animal Hospital,1,VFC_00006565,VBS Partner,,,,221 Margaret Street,Pekin,IL,61554,4/27/14,3,3,5/2/14,1540,39091.23,842.337381,TRUE,18,8
2099,Vinegar Hill Veterinary Group,1,VFC_00000459,IMA Partner,,223477,,57 Front St,Brooklyn,NY,11201,3/11/13,6,2,5/31/11,2534,80496.68,877.5994872,TRUE,83,34
105261,Nebraska Equine Veterinary Clinic,1,VFC_00006648,VBS Partner,,,,10261 County Road P38A,Omaha,NE,68142,8/26/14,3,4,8/28/14,0,21891.45,1085.7,FALSE,28,9
78939,"Animal Care Center of Chicago, LLC",1,VFC_00006528,IMA Partner,,,,1248 West Washington Boulevard,Chicago,IL,60607,3/20/14,9,3,3/11/14,5091,38097.04,851.5682051,TRUE,5,1
4315,Mt Airy Animal Hospital,1,VFC_00004937,IMA Partner,,225483,,114 E. Mt Airy Ave,Philadelphia,PA,19119,5/23/12,9,13,11/7/12,333,93885.52,876.6915,FALSE,8,7
107612,Pegasus Veterinary Center,1,VFC_00006766,VBS Partner,,,,11650 E Speedway Boulevard,Tucson,AZ,85748,12/15/14,1,,1/29/15,0,9709.79,922.0766667,FALSE,2,2
5733,Bowen Road Animal Clinic,1,VFC_00006178,VBS Partner,1661,,,501 S. Bowen Road,Arlington,TX,76013,12/12/12,3,1,3/1/11,261,100269.18,891.4077778,FALSE,8,7
3723,Hometown Animal Hospital & Dental Clinic,1,VFC_00004827,VBS Partner,,217377,,17100 Royal Palm Blvd,Weston,FL,33326,5/23/12,12,23,6/15/12,3103,84154.31,901.5734722,TRUE,151,46
3790,Coral Veterinary Clinic,1,VFC_00004660,VBS Partner,,217878,,9540 Cypress Lake Drive,Fort Myers,FL,33919,5/23/12,11,3,1/31/14,4396,91536.33,882.475375,TRUE,41,33
85430,Edgewood Animal Hospital,1,VFC_00006786,VBS Partner,,,,3434 Midway Drive NW,Cedar Rapids,IA,52405,12/29/14,12,4,1/9/15,3399,723.55,723.55,TRUE,5,4
4218,All-Star Veterinary Clinic,1,VFC_00004473,VBS Partner,,223340,,789 East Main St.,Westfield,IN,46074,5/23/12,4,4,4/28/12,1667,92238.76,912.7150685,TRUE,12,11
3002,Caring Hands Animal Hospital of Arlington,1,VFC_00004191,VBS Partner,,212937,,2955 C South Glebe Road,Arlington,VA,22206,5/23/12,17,18,12/18/14,9373,28370.25,953.304375,TRUE,136,68
108589,Buckeye Veterinary Clinic,1,VFC_00006800,IMA Partner,,,,3592 Manchester Rd,Akron,OH,44319,1/5/15,2,10,1/8/15,1132,9278.11,787.9572727,TRUE,46,17
2108,Cleary Lake Veterinary Hospital,1,VFC_00000202,IMA Partner,,,,18577 Natchez Ave,Prior Lake,MN,55372,Unknown,8,1,1/18/11,3998,95170.86,872.291358,TRUE,1,0
97920,Mendon Village Animal Hospital,1,VFC_00006843,IMA Partner,,,,1380B Pittsford-Mendon Rd,Mendon,NY,14506,2/2/15,7,6,2/4/15,2177,5920.28,747.3542857,TRUE,15,4
3386,Orchid Springs Animal Hospital,1,VFC_00003878,IMA Partner,,215004,,615 Overlook Dr,Winter Haven,FL,33884,5/2/12,3,22,4/17/15,1530,3710.55,706.55,TRUE,6,3
2394,Town and Country Animal Hospital,1,VFC_00003119,IMA Partner,,219529,,3110 S Cochran Rd,Charlotte,MI,48813,1/29/15,3,4,5/2/14,669,56279.67,921.8382979,FALSE,16,10
2000,Mobile Laser Veterinary Services,1,VFC_00000525,IMA Partner,,,,PO Box 782,Garner,NC,27529,Unknown,1,2,5/2/11,671,102271.43,841.9121951,FALSE,64,17
90867,Rose Hill Veterinary Clinic,1,VFC_00006754,VBS Partner,,,,110 N Rose Hill Rd,Rose Hill,KS,67133,12/9/14,3,1,12/18/14,416,12753.35,921.3863636,FALSE,73,33
99268,Lawrence Veterinary Hospital,1,VFC_00006560,VBS Partner,,,,3210 Clinton Parkway Court,Lawrence,KS,66047,5/13/14,2,7,5/5/14,1010,36331.63,829.0462162,TRUE,38,20
2276,Cedar Lane Animal Clinic,1,VFC_00000370,IMA Partner,,218401,,1760 Easton Avenue,Somerset,NJ,8873,Unknown,13,2,5/31/11,2472,92592.11,827.0901205,TRUE,4,2
