DVM ID,Practice Name,Active,Partner,State,Zip,Marketing Email Pref,Vet Users,Staff Users, Past Year Revenue , avgMonthlyRev , avgMonthlyRevPerUser 
1905,Breckenridge Animal Hospital,1,IMA Partner,KY,40220,Companion Animal,4,1,24935.32,2077.943333,415.5886667
1906,"Ralston Veterinary Clinic, Inc",1,IMA Partner,NE,68127,Companion Animal,15,11,48237.03,4019.7525,154.6058654
1907,Olsen Vet Clinic,1,IMA Partner,IL,62034,Companion Animal,1,0,33299.55,2774.9625,2774.9625
1909,"Vale Park Animal Hospital, LLC",1,IMA Partner,IN,46383,Companion Animal,6,2,10791.81,899.3175,112.4146875
1912,City Cat Mobile Vet Service LLC,1,IMA Partner,WA,98102,Companion Animal,1,0,4115.76,342.98,342.98
1913,Columbia Animal Hospital,1,IMA Partner,PA,17512,Companion Animal,3,1,8006.12,667.1766667,166.7941667
1919,Runaway Farm Pet Hospital,1,IMA Partner,PA,18073,Companion Animal,1,1,958.28,79.85666667,39.92833333
1928,Eastridge Animal Center,1,IMA Partner,IA,50049,Companion Animal,2,2,931.4,77.61666667,19.40416667
1930,Animal Health Clinic of Funkstown,1,IMA Partner,MD,21734,Companion Animal,6,1,10169.72,847.4766667,121.0680952
1943,Virginia Beach Veterinary Hospital,1,IMA Partner,VA,23455,Companion Animal,4,3,32195.9,2682.991667,383.2845238
1944,Conway Animal Clinic,1,IMA Partner,AR,72032,Companion Animal,1,1,1996.17,166.3475,83.17375
1948,San Francisco SPCA Veterinary Hospital,1,IMA Partner,CA,94103,Companion Animal,44,13,12739.06,1061.588333,18.62435673
1949,Hybla Valley Veterinary Hospital,1,IMA Partner,VA,22306,Companion Animal,9,3,12298.99,1024.915833,85.40965278
1952,Hazel Dell Animal Hospital,1,IMA Partner,IN,46033,Companion Animal,2,1,8416.45,701.3708333,233.7902778
1953,Aston Vet Hospital LLC,1,IMA Partner,PA,19063,Companion Animal,12,6,9192.55,766.0458333,42.55810185
1956,Madison Veterinary Hospital PC,1,IMA Partner,MI,48071,Companion Animal,5,1,4988.59,415.7158333,69.28597222
1957,Spoon River Animal Clinic PC,1,IMA Partner,IL,61520,Companion Animal,5,1,8718.79,726.5658333,121.0943056
1959,Norton Animal Hospital Inc,1,IMA Partner,MA,02766,Companion Animal,7,2,20975.47,1747.955833,194.2173148
1960,Winchester Pet Care Center,1,IMA Partner,KS,66062,Companion Animal,1,6,13638.77,1136.564167,162.3663095
1963,Animal Medical Center of Jefferson City,1,IMA Partner,MO,65109,Companion Animal,2,1,7980.26,665.0216667,221.6738889
1964,"Crossroads Animal Hospital, LLC",1,IMA Partner,SC,29678,Companion Animal,1,0,4955.72,412.9766667,412.9766667
1966,Bluffs Animal Hospital,1,VBS Partner,FL,33408,Companion Animal,2,4,10998.16,916.5133333,152.7522222
1968,"Stoney Creek Veterinary Hospital, Inc.",1,IMA Partner,PA,19070,Companion Animal,6,5,34326,2860.5,260.0454545
1972,New Glarus Veterinary Clinic LLC,1,IMA Partner,WI,53574,Companion Animal,1,1,8835.95,736.3291667,368.1645833
1975,Animal Care Center,1,IMA Partner,KS,66701,Companion Animal,1,1,4027.03,335.5858333,167.7929167
1978,Winterset Veterinary Center,1,IMA Partner,IA,50273,Companion Animal,1,0,9031.87,752.6558333,752.6558333
1979,Midway Animal Hospital,1,IMA Partner,GA,30004,Companion Animal,1,0,24083.89,2006.990833,2006.990833
1981,Longmeadow Animal Hospital,1,IMA Partner,MD,21742,Companion Animal,1,2,9893.57,824.4641667,274.8213889
1985,All Friends Animal Hospital,1,IMA Partner,CT,06360,Companion Animal,7,2,16335.71,1361.309167,151.2565741
1987,Green Lane Veterinary Hospital,1,IMA Partner,PA,18054,Companion Animal,2,2,10039.3,836.6083333,209.1520833
1990,Animal Health Center of Port St. Lucie Inc,1,IMA Partner,FL,34953,Companion Animal,2,1,5446.36,453.8633333,151.2877778
1991,"Oconee Veterinary Hospital, PC",1,IMA Partner,GA,30677,Companion Animal,2,2,8822.99,735.2491667,183.8122917
1994,Heritage & Arrow Springs Veterinary Hospitals,1,IMA Partner,OK,74145,Companion Animal,11,5,25816.03,2151.335833,134.4584896
1995,All Animal Clinic,1,IMA Partner,FL,33040,Companion Animal,5,9,6694.8,557.9,39.85
1996,Fairborn Animal Hospital,1,IMA Partner,OH,45324,Companion Animal,1,1,8166.14,680.5116667,340.2558333
1997,Concord Pike Veterinary Hospital,1,VBS Partner,PA,19317,Companion Animal,5,3,22289.57,1857.464167,232.1830208
1999,Shiner Animal Hospital,1,IMA Partner,TX,77984,Companion Animal,2,1,11079.26,923.2716667,307.7572222
2000,Mobile Laser Veterinary Services,1,IMA Partner,NC,27529,Companion Animal,1,2,36179.97,3014.9975,1004.999167
2001,Midshore Veterinary Service,1,IMA Partner,MD,21601,Companion Animal,4,12,28489.1,2374.091667,148.3807292
2002,"Grove Veterinary Clinic, PC",1,IMA Partner,IN,47353,Companion Animal,1,0,6870.29,572.5241667,572.5241667
2003,Advanced Veterinary Care,1,IMA Partner,MO,63401,Companion Animal,2,4,10387.08,865.59,144.265
2007,Greensburg Veterinary Clinic PC,1,IMA Partner,IN,47240,Companion Animal,4,2,17398.32,1449.86,241.6433333
2008,Chisholm Trail Animal Hospital PA,1,IMA Partner,KS,67219,Companion Animal,5,4,15461.36,1288.446667,143.1607407
2009,Centerville Animal Hospital,1,IMA Partner,VA,23322,Companion Animal,5,4,37760.04,3146.67,349.63
2012,Anchorage Animal Hospital Inc.,1,IMA Partner,KY,40245,Companion Animal,4,1,18161.37,1513.4475,302.6895
2014,Indian Street Animal Clinic,1,VBS Partner,FL,34997,Companion Animal,1,1,8940.82,745.0683333,372.5341667
2016,Hickman Run Animal Hospital,1,IMA Partner,WV,26554,Companion Animal,1,0,7188.45,599.0375,599.0375
2017,"MARYSVILLE ANIMAL CARE CENTER, INC.",1,IMA Partner,OH,43040,Companion Animal,3,1,7774.15,647.8458333,161.9614583
2018,Berrien Veterinary Services,1,IMA Partner,MI,49101,Companion Animal,3,2,55592.4,4632.7,926.54
2019,Oakton Vienna Veterinary Hospital,1,VBS Partner,VA,22180,Companion Animal,6,3,34537.44,2878.12,319.7911111
2024,South 71 Veterinary Clinic,1,IMA Partner,MN,56201,Companion Animal,8,3,5213.87,434.4891667,39.49901515
2025,Jacksonville Cabot Vet Clinic,1,IMA Partner,AR,72023,Companion Animal,2,1,3034.52,252.8766667,84.29222222
2029,"Lifetime Small Animal Hospital, PC",1,IMA Partner,WY,82414,Companion Animal,4,1,2515.55,209.6291667,41.92583333
2030,The Family Pet Veterinary Clinic,1,IMA Partner,IA,52358,Companion Animal,3,1,4683.5,390.2916667,97.57291667
2033,All Breed Pet Care llc,1,IMA Partner,IN,47630,Companion Animal,1,0,4932.46,411.0383333,411.0383333
2034,"HHD Mobile Veterinary Clinic,LLC",1,IMA Partner,VA,22567,Companion Animal,1,0,3123.76,260.3133333,260.3133333
2038,Biddeford Animal Hospital,1,IMA Partner,ME,04005,Companion Animal,6,1,1751.96,145.9966667,20.85666667
2040,Creekside Animal Hospital,1,IMA Partner,TX,76018,Companion Animal,3,1,4626.64,385.5533333,96.38833333
2043,Pet Wellness Center PC,1,IMA Partner,IL,62959,Companion Animal,1,2,6763.7,563.6416667,187.8805556
2044,Advanced Veterinary Medical Center,1,IMA Partner,MI,48336,Companion Animal,2,11,23634.35,1969.529167,151.5022436
2046,Cross Creek Animal Medical Centre Inc.,1,IMA Partner,FL,33647,Companion Animal,4,0,15280.5,1273.375,318.34375
2050,"Grandview Veterinary Clinic, P.C.",1,IMA Partner,TX,79762,Companion Animal,9,4,11659.05,971.5875,74.7375
2052,Sheehy Animal Hospital,1,IMA Partner,MI,48152,Companion Animal,2,10,3360.9,280.075,23.33958333
2054,Edwardsville Pet Hospital,1,IMA Partner,IL,62025,Companion Animal,6,3,10084.72,840.3933333,93.37703704
2055,Washington Veterinary Clinic,1,IMA Partner,MO,63090,Companion Animal,2,1,10244.61,853.7175,284.5725
2058,Bethany Centennial Animal Hospital,1,IMA Partner,MD,21042,Companion Animal,4,1,18604.76,1550.396667,310.0793333
2059,Mount Vernon Animal Hospital,1,VBS Partner,OH,43050,Companion Animal,4,3,5467.33,455.6108333,65.0872619
2060,"Animal Medical of Covington, Inc.",1,IMA Partner,GA,30014,Companion Animal,1,4,5416.43,451.3691667,90.27383333
2061,Alpine Animal Hospital,1,IMA Partner,WY,82070,Companion Animal,4,1,7784.05,648.6708333,129.7341667
2063,"West River Veterinary Clinic, PC",1,IMA Partner,ND,58639,Companion Animal,3,2,925.2,77.1,15.42
2066,Freeport Veterinary Hospital,1,IMA Partner,ME,04032,Companion Animal,9,14,17245.96,1437.163333,62.48536232
2069,Earlysville Animal Hospital,1,IMA Partner,VA,22936,Companion Animal,4,1,18785.74,1565.478333,313.0956667
2072,California Visiting Vet,1,IMA Partner,CA,94533-2752,Companion Animal,2,2,19189.89,1599.1575,399.789375
2073,Martinez Animal Hospital,1,IMA Partner,CA,94553,Companion Animal,4,11,45474.42,3789.535,252.6356667
2075,"Seven Bends Veterinary Hospital, LC",1,IMA Partner,VA,22664,Companion Animal,5,1,20167.65,1680.6375,280.10625
2076,Animal Care Clinic,1,IMA Partner,KY,40513,Companion Animal,3,3,3870.83,322.5691667,53.76152778
2077,Battleground Hospital for Animals,1,IMA Partner,TN,37064,Companion Animal,3,3,33790.48,2815.873333,469.3122222
2078,NVA Nickerson Animal Health Center,1,VBS Partner,MI,49022,Companion Animal,4,3,31579.18,2631.598333,375.942619
2080,Grace Animal Hospital and Pet Lodge,1,IMA Partner,SC,29072,Companion Animal,4,1,26354.61,2196.2175,439.2435
2081,Critterfixers Mobile Veterinary Care,1,IMA Partner,VA,22315,Companion Animal,1,0,30442.83,2536.9025,2536.9025
2082,Best Pets Animal Clinic,1,IMA Partner,KY,40324,Companion Animal,1,0,35213.54,2934.461667,2934.461667
2083,Lifetime Animal Center LLC,1,IMA Partner,MO,64093,Companion Animal,3,2,16471.97,1372.664167,274.5328333
2085,Brenham Veterinary Hospital,1,IMA Partner,TX,77833,Companion Animal,10,1,10721,893.4166667,81.21969697
2086,Hardee Animal Clinic,1,IMA Partner,FL,33873,Companion Animal,1,1,13302.33,1108.5275,554.26375
2097,Gosling Road Veterinary Clinic,1,VBS Partner,TX,77389,Companion Animal,1,2,2647.54,220.6283333,73.54277778
2098,Greenbrier Animal Care Center,1,IMA Partner,VA,23320,Companion Animal,3,3,6089.88,507.49,84.58166667
2099,Vinegar Hill Veterinary Group,1,IMA Partner,NY,11201,Companion Animal,6,2,39436.54,3286.378333,410.7972917
2104,Kittery Animal Hospital Inc.,1,IMA Partner,ME,03904,Companion Animal,5,5,9193.22,766.1016667,76.61016667
2105,Bean Blossom Animal Clinic,1,IMA Partner,IN,47448,Companion Animal,2,6,84687.85,7057.320833,882.1651042
2106,Arbor Creek Animal Hospital,1,IMA Partner,KS,66062,Companion Animal,1,2,17698.5,1474.875,491.625
2107,The Village Vets,1,IMA Partner,GA,30030,Companion Animal,33,21,118056.52,9838.043333,182.1859877
2108,Cleary Lake Veterinary Hospital,1,IMA Partner,MN,55372,Companion Animal,8,1,36978.19,3081.515833,342.3906481
2109,Steel Veterinary Services,1,IMA Partner,PA,15301,Companion Animal,1,1,17201.31,1433.4425,716.72125
2112,Southside Hospital for Animals,1,IMA Partner,GA,31419,Companion Animal,7,2,26861.67,2238.4725,248.7191667
2113,"Union Lake Veterinary Hospital, P.C.",1,IMA Partner,MI,48327,Companion Animal,1,1,40436.77,3369.730833,1684.865417
2115,NOAH Pet Clinic,1,VBS Partner,OH,44870,Companion Animal,4,6,21110.08,1759.173333,175.9173333
2116,Bethel Animal Hospital,1,IMA Partner,OH,43220,Companion Animal,7,0,15313.59,1276.1325,182.3046429
2118,Mountain Park Animal Hospital,1,IMA Partner,GA,30047,Companion Animal,3,12,18261.33,1521.7775,101.4518333
2119,Arnold Pet Station,1,IMA Partner,MD,21012,Companion Animal,6,4,17420.74,1451.728333,145.1728333
2121,Massanutten Animal Clinic,1,IMA Partner,VA,22801,Companion Animal,3,2,18890.51,1574.209167,314.8418333
2123,Lisbon Veterinary Clinic,1,IMA Partner,OH,44432,Companion Animal,8,1,22978.49,1914.874167,212.7637963
2124,Blue Ridge Veterinary Associates Inc,1,IMA Partner,VA,20132,Companion Animal,10,4,48207.11,4017.259167,286.9470833
2127,Animal Care Hospital,1,IMA Partner,CA,92307,Companion Animal,2,2,42654.38,3554.531667,888.6329167
2128,The People's Pets,1,IMA Partner,GA,30084,Companion Animal,2,0,19075.11,1589.5925,794.79625
2130,Pampered Pets Vet Clinic & Spa,1,VBS Partner,OK,73003,Companion Animal,1,1,1791.91,149.3258333,74.66291667
2131,New River Animal Hospital,1,IMA Partner,WV,25978,Companion Animal,5,13,4924.72,410.3933333,22.79962963
2132,Animal Clinic Of Platte County,1,IMA Partner,MO,64152-3543,Companion Animal,1,2,7536.22,628.0183333,209.3394444
2133,Guthrie Pet Hospital,1,IMA Partner,OK,73044,Companion Animal,1,3,5660.59,471.7158333,117.9289583
2138,"Animal Clinic at Upper Sandusky, Inc.",1,IMA Partner,OH,43351,Companion Animal,1,2,4724.83,393.7358333,131.2452778
2142,"NorthPaws Veterinary Center, Inc.",1,IMA Partner,RI,02828,Companion Animal,6,4,4946.04,412.17,41.217
2144,Lakeside Animal Hospital,1,IMA Partner,VA,23228,Companion Animal,5,3,5449.67,454.1391667,56.76739583
2146,Home Pet Vet LLC,1,VBS Partner,OR,97537,Companion Animal,3,1,2200.4,183.3666667,45.84166667
2149,Joseph A. Kobuszewski DVM,1,IMA Partner,KS,66088,Companion Animal,1,1,3511.93,292.6608333,146.3304167
2150,Pine Point Animal Hospital PA,1,IMA Partner,ME,04074,Companion Animal,6,2,9570.98,797.5816667,99.69770833
2154,Southgate Veterinary Hospital,1,IMA Partner,CA,95823,Companion Animal,2,6,8249.09,687.4241667,85.92802083
2155,Barrington Oaks Veterinary Hospital,1,IMA Partner,MN,55330,Companion Animal,10,1,4306.11,358.8425,32.62204545
2156,Cayuga Veterinary Services,1,IMA Partner,NY,13021,Companion Animal,4,8,7623.33,635.2775,52.93979167
2161,Thone Animal Care Of Blair,1,IMA Partner,NE,68008,Companion Animal,2,1,1426.04,118.8366667,39.61222222
2163,"Tugaloo Animal Hospital, PC",1,IMA Partner,GA,30553,Companion Animal,1,1,2028.99,169.0825,84.54125
2164,All Creatures Great and Small Animal Hospital,1,IMA Partner,NJ,07004,Companion Animal,5,0,8626.7,718.8916667,143.7783333
2171,Animal Kingdom Vet Care Center LLC,1,IMA Partner,IA,52317,Companion Animal,4,0,5148.75,429.0625,107.265625
2174,Brookfield Animal Hospital,1,IMA Partner,CT,06804,Companion Animal,7,6,8565.39,713.7825,54.90634615
2176,Tri-City Animal & Bird Clinic,1,IMA Partner,MO,63011,Companion Animal,4,2,3615.12,301.26,50.21
2179,"PawSteps Veterinary Center, Inc.",1,VBS Partner,MA,01534,Companion Animal,5,6,35377.6,2948.133333,268.0121212
2181,Northland Mobile Veterinary Clinic,1,VBS Partner,MO,64156,Companion Animal,1,1,13521.9,1126.825,563.4125
2182,Geary Veterinary Services LLC,1,IMA Partner,PA,15456,Companion Animal,1,1,7647.6,637.3,318.65
2183,"Oceanview Veterinary Hospital, Inc",1,IMA Partner,FL,32250,Companion Animal,2,0,7534.17,627.8475,313.92375
2186,West Side Pet Hospital,1,IMA Partner,IN,47720,Companion Animal,4,0,4351.23,362.6025,90.650625
2187,Petlovers Animal Hospital,1,IMA Partner,OH,43068,Companion Animal,1,1,2169.94,180.8283333,90.41416667
2192,Stevens Veterinary Clinic,1,VBS Partner,IL,61434,Companion Animal,2,1,5698.86,474.905,158.3016667
2197,Wildwood Animal Hospital,1,VBS Partner,WI,54449,Companion Animal,5,2,5450.94,454.245,64.89214286
2201,RLM Veterinary Services PC,1,IMA Partner,IN,47265,Companion Animal,1,1,3961.33,330.1108333,165.0554167
2205,Animal Wellness Center,1,IMA Partner,FL,33414,Companion Animal,3,5,21070.29,1755.8575,219.4821875
2210,"Boone County Veterinary Clinic, Inc.",1,IMA Partner,AR,72601,Companion Animal,3,9,6559.16,546.5966667,45.54972222
2211,Vogel Veterinary Hospital,1,IMA Partner,MO,63010,Companion Animal,4,2,3229.18,269.0983333,44.84972222
2220,Chilhowee Veterinary Clinic Inc,1,IMA Partner,TN,37803,Companion Animal,9,1,4543.19,378.5991667,37.85991667
2221,Bonita Veterinary Hospital,1,IMA Partner,FL,34134,Companion Animal,4,1,20494.53,1707.8775,341.5755
2222,Pet Wellness Clinics of America - Binford,1,IMA Partner,IN,46220,Companion Animal,5,1,6666.3,555.525,92.5875
2233,Animal Health Center,1,IMA Partner,NE,69361,Companion Animal,5,1,6744.49,562.0408333,93.67347222
2247,Town & Country Veterinary Clinic,1,IMA Partner,GA,30062,Companion Animal,6,1,40523.97,3376.9975,482.4282143
2250,"PenBay Veterinary Associates, Inc",1,VBS Partner,ME,04856,Companion Animal,3,2,5111.89,425.9908333,85.19816667
2252,Brewster Veterinary Hospital,1,IMA Partner,MA,02631,Companion Animal,5,1,19511.76,1625.98,270.9966667
2254,Charlotte Street Animal Hospital,1,IMA Partner,NC,28801,Companion Animal,7,1,17002.83,1416.9025,177.1128125
2255,Raytown Gregory Animal Hth Ctr,1,IMA Partner,MO,64133,Companion Animal,4,1,8145.38,678.7816667,135.7563333
2257,Honey Creek Veterinary Hospital Inc.,1,IMA Partner,MO,64683,Companion Animal,2,1,4909.53,409.1275,136.3758333
2260,Animal Hospital of Peak Plaza,1,IMA Partner,NC,27523,Companion Animal,3,1,11916.63,993.0525,248.263125
2261,Center Moriches Veterinary Hospital,1,IMA Partner,NY,11934,Companion Animal,5,1,4078.65,339.8875,56.64791667
2266,Beaver Lake Animal Hospital,1,IMA Partner,WA,98029,Companion Animal,1,1,9608.75,800.7291667,400.3645833
2267,"Suburban Animal Clinic of Columbus Ohio, Inc.",1,VBS Partner,OH,43204,Companion Animal,6,6,20992.52,1749.376667,145.7813889
2268,Tri-County Veterinary Clinic,1,IMA Partner,IN,46979,Companion Animal,4,7,11030.84,919.2366667,83.5669697
2269,Hamilton Veterinary Hospital,1,VBS Partner,NJ,08610,Companion Animal,7,4,31521.4,2626.783333,238.7984848
2270,Colbern Road Animal Clinic,1,IMA Partner,MO,64086,Companion Animal,1,1,14340.44,1195.036667,597.5183333
2272,Seneca Animal Hospital PA,1,IMA Partner,SC,29678,Companion Animal,3,4,9079.06,756.5883333,108.0840476
2273,Godspeed Animal Care,1,IMA Partner,VA,23188,Companion Animal,7,1,20545.88,1712.156667,214.0195833
2274,"Country View Veterinary Service, Inc.",1,IMA Partner,WI,53575,Companion Animal,13,1,16275.57,1356.2975,96.87839286
2275,Richfield Area Pet Clinic,1,IMA Partner,WI,53033,Companion Animal,1,0,4023.9,335.325,335.325
2276,Cedar Lane Animal Clinic,1,IMA Partner,NJ,08873,Companion Animal,13,2,35886.9,2990.575,199.3716667
2277,"Pines Meadow Veterinarians, Ltd.",1,IMA Partner,IL,61061,Companion Animal,3,5,3721.82,310.1516667,38.76895833
2278,Carmel Mountain Ranch Veterinary Hospital,1,IMA Partner,CA,92128,Companion Animal,4,1,15099.15,1258.2625,251.6525
2282,Lake Harbin Animal Hospital,1,IMA Partner,GA,30260,Companion Animal,3,8,10512.45,876.0375,79.63977273
2295,Heartland Animal Hospital PC,1,IMA Partner,NE,68005,Companion Animal,5,1,4762.95,396.9125,66.15208333
2298,Gentle Journey Veterinary Hospice,1,IMA Partner,PA,15209,Companion Animal,1,0,4889.28,407.44,407.44
2302,Town & Country Animal Clinic,1,IMA Partner,MO,64085,Companion Animal,1,2,1229.72,102.4766667,34.15888889
2313,Town and Country North Veterinary Clinic,1,IMA Partner,GA,30075,Companion Animal,6,1,1127.1,93.925,13.41785714
2316,Northridge Animal Medical Center,1,IMA Partner,CA,91324,Companion Animal,1,0,3676.37,306.3641667,306.3641667
2319,Olde Naples Animal Wellness Center,1,IMA Partner,FL,34102,Companion Animal,1,4,12465.39,1038.7825,207.7565
2320,Acredale Animal Hospital,1,IMA Partner,VA,23464,Companion Animal,6,0,46317.55,3859.795833,643.2993056
2323,Limerick Mills Animal Hospital,1,IMA Partner,ME,04048,Companion Animal,3,1,19872.54,1656.045,414.01125
2324,Elkhorn Vet Clinic,1,IMA Partner,NE,68713,Companion Animal,1,0,2277.34,189.7783333,189.7783333
2332,Farm & Pet Veterinary Care,1,IMA Partner,MI,48770,Companion Animal,1,2,2457.9,204.825,68.275
2337,Kennebunk Veterinary Hospital,1,IMA Partner,ME,04043,Companion Animal,5,1,14667.67,1222.305833,203.7176389
2341,Pine Village Veterinarian,1,VBS Partner,PA,15090,Companion Animal,3,2,32929.77,2744.1475,548.8295
2343,"Chicagoland Veterinary Behavior Consultants, PC",1,VBS Partner,IL,60188,Companion Animal,2,0,8868.6,739.05,369.525
2349,Osceola Veterinary Services,1,IMA Partner,WI,54020,Companion Animal,3,2,18906.76,1575.563333,315.1126667
2350,Kindness Animal Hospital,1,IMA Partner,MA,02452,Companion Animal,4,3,45917.75,3826.479167,546.639881
2362,Brooklyn Veterinary Hospital,1,IMA Partner,CT,06234,Companion Animal,4,2,10036.56,836.38,139.3966667
2364,The Barefoot Veterinarian,1,IMA Partner,CA,92869,Companion Animal,1,0,4154.46,346.205,346.205
2366,Bethany Animal Hospital LLC,1,IMA Partner,IL,60178,Companion Animal,6,25,51503.89,4291.990833,138.4513172
2367,Glen Eagles Pet Hospital,1,IMA Partner,OK,73013,Companion Animal,1,1,14441.57,1203.464167,601.7320833
2370,Great Brook Animal Care,1,IMA Partner,ME,04027,Companion Animal,1,1,9627.9,802.325,401.1625
2371,Creature Comforts Animal Hospital,1,VBS Partner,NC,27518,Companion Animal,2,1,16151.17,1345.930833,448.6436111
2374,Veterinary Behavior Solutions,1,IMA Partner,TX,75006,Companion Animal,1,0,8315.79,692.9825,692.9825
2377,Parkville Animal Hospital,1,VBS Partner,MD,21234,Companion Animal,1,4,7194.17,599.5141667,119.9028333
2378,AAA Pet Services,1,VBS Partner,NC,28217,Companion Animal,1,0,3805.8,317.15,317.15
2385,South Mesquite Veterinary Hospital,1,IMA Partner,TX,75149,Companion Animal,1,0,2377.13,198.0941667,198.0941667
2386,Gateway Veterinary Hospital,1,VBS Partner,OR,97220,Companion Animal,6,0,18080.66,1506.721667,251.1202778
2388,Homefront Veterinary House Calls,1,VBS Partner,NY,11375,Companion Animal,1,0,5335.26,444.605,444.605
2391,LakeCross Veterinary Hospital,1,VBS Partner,NC,28078,Companion Animal,10,3,184539.45,15378.2875,1182.945192
2394,Town and Country Animal Hospital,1,IMA Partner,MI,48813,Companion Animal,3,4,32140.74,2678.395,382.6278571
2399,Cache La Poudre Vet Clinic,1,IMA Partner,CO,80524,Companion Animal,2,2,26892.79,2241.065833,560.2664583
2405,Three Notch,1,IMA Partner,MD,20636,Companion Animal,13,2,13649.29,1137.440833,75.82938889
2407,"Atlantic Veterinary Internal Medicine, LLC",1,VBS Partner,MD,21401-3016,Companion Animal,12,1,3045.92,253.8266667,19.52512821
2409,Hoffman Animal Hospital,1,VBS Partner,MD,21409,Companion Animal,7,10,45105.61,3758.800833,221.1059314
2413,Heartwood Animal Hospital,1,VBS Partner,NC,27596,Companion Animal,10,0,26554.94,2212.911667,221.2911667
2417,Muddy Creek Animal Hospital,1,VBS Partner,MD,20778,Companion Animal,6,4,31538.59,2628.215833,262.8215833
2418,Three Counties Animal Hospital,1,VBS Partner,GA,30274,Companion Animal,3,2,9872.93,822.7441667,164.5488333
2426,Kirkpatrick Veterinary Hospital,1,VBS Partner,FL,32806,Companion Animal,5,1,59999.27,4999.939167,833.3231944
2431,Kings Bay Veterinary Hospital,1,VBS Partner,NY,11223,Companion Animal,3,1,9574,797.8333333,199.4583333
2433,Fairmount Animal Hospital,1,VBS Partner,NY,13219,Companion Animal,17,19,22355.59,1862.965833,51.74905093
2434,Liverpool Village Animal Hospital,1,VBS Partner,NY,13088,Companion Animal,9,1,13099.96,1091.663333,109.1663333
2435,All Pets Medical & Laser Surgical Center,1,VBS Partner,TX,77845,Companion Animal,3,6,5688.47,474.0391667,52.67101852
